ആർക്ക෠പ്പം	ആർക്ക്+ഒപ്പം
കയ෣യം	കയ്യ്+അം
അവരොന്തോ	അവര്+എന്തോ
ആഗത඾ായ	ആഗതന്+ആയ
പാറ෗ന്ന	പാറ്+ഉന്ന
പേ඾യായി	പേന+യായി
കുඵകളിൽ	കുടകൾ+ഇൽ
ഇത෕ല്	ഇത്+ഇല്
കുതിෆച്ചാല്	കുതിര+ചാല്
നെട്ടළം	നെട്ട്+അയം
അടക്ණണം	അടക്ക്+അണം
ഗീයമായി	ഗീതം+ആയി
അത෠ട്ടും	അത്+ഒട്ടും
ആദ്ළമാറ്റം	ആദ്യം+ആറ്റം
അയ്യപ്പനොന്ന്	അയ്യപ്പന്+എന്ന്
ഇന്നුരും	ഇന്നാർ+ഉം
ഉണ്ടය്	ഉണ്ട്+അത്
കാർമിക඾ാവും	കാർമികൻ+ആവും
അടുത്ത෗ണ്ട്	അടു+തുണ്ട്
ആത്മാവොന്നു	ആത്മാവ്+എന്നു
കൊതുക෕ൽ	കൊതുക്+ഇൽ
പാടณ	പാട്+അൽ
ഉളുപ്പෘണി	ഉൾ+ഉപ്പൂണി
കടങ്ങ෡ട്ട്	കട്+അങ്ങോട്ട്
നാരහംഗലം	നാർ+അമംഗലം
നി෇ത്തിന്റെ	നിറ+അത്തിന്റെ
കിഴക്കෝകര	കിഴ+കേകര
ശുദ്ധ෕യാക്കി	ശുദ്ധി+ആക്കി
ടാക്സ෕യായി	ടാക്സി+ആയി
പെട്ട෗ന്നു	പെട്ട്+ഉന്നു
വാ඾തി	വാൻ+അതി
വෝമാർ	വേമ+ആർ
വിപത്ത෕ൽ	വിപത്ത്+ഇൽ
അക്കුമി	അക്+കാമി
ഇයൊന്നും	ഇത്+ഒന്നും
പാട෕യതും	പാടി+അതും
ഇന෕യതിന്റെ	ഇനി+അതിന്റെ
നി෈ത്തേ	നിൽ+അത്തേ
വീട෕ല്ലാത്ത	വീട്+ഇല്ലാത്ത
മക്കුനി	മക്ക്+ആനി
സമയහായി	സമയം+ആയി
കണ്ടුവേശം	കണ്ട്+ആവേശം
